rank_order,name,location,loc_count
2390,University of Sussex,United Kingdom,92
2400,Università della Svizzera italiana,Switzerland,12
2410,University of Tartu,Estonia,2
2420,Tel Aviv University,Israel,6
2430,Tohoku University,Japan,22
2440,University College Dublin,Ireland,8
2450,Vita-Salute San Raffaele University,Italy,54
2460,Vrije Universiteit Brussel,Belgium,10
2470,University of Waterloo,Canada,30
2480,Western University,Canada,30
2490,Western Sydney University,Australia,36
2500,University of Wollongong,Australia,36
2510,Aalborg University,Denmark,7
2520,Auckland University of Technology,New Zealand,8
2530,Australian Catholic University,Australia,36
2540,University of Bath,United Kingdom,92
2550,Beijing Normal University,China,64
2560,Bond University,Australia,36
2570,Boston College,United States of America,160
2580,Bournemouth University,United Kingdom,92
2590,Brighton and Sussex Medical School,United Kingdom,92
2600,"University of California, Riverside",United States of America,160
2610,University of Canberra,Australia,36
2620,Chalmers University of Technology,Sweden,13
2630,"China Medical University, Taiwan",Taiwan,11
2640,Copenhagen Business School,Denmark,7
2650,Deakin University,Australia,36
2660,University of Duisburg-Essen,Germany,49
2670,Heinrich Heine University Düsseldorf,Germany,49
2680,École des Ponts ParisTech,France,31
2690,Goethe University Frankfurt,Germany,49
2700,Griffith University,Australia,36
2710,University of Hawai’i at Mānoa,United States of America,160
2720,Hebrew University of Jerusalem,Israel,6
2730,University of Illinois Chicago,United States of America,160
2740,Indian Institute of Science,India,37
2750,Johannes Gutenberg University of Mainz,Germany,49
2760,University of Kiel,Germany,49
2770,King Saud University,Saudi Arabia,19
2780,Kyung Hee University,South Korea,18
2790,La Trobe University,Australia,36
2800,Université Laval,Canada,30
2810,Linköping University,Sweden,13
2820,University of Navarra,Spain,27
2830,Oregon Health and Science University,United States of America,160
2840,Osaka University,Japan,22
2850,University of Pavia,Italy,54
2860,Queen’s University,Canada,30
2870,Ruhr University Bochum,Germany,49
2880,Sejong University,South Korea,18
2890,University of Sharjah,United Arab Emirates,6
2900,Simon Fraser University,Canada,30
2910,University of Southern Denmark,Denmark,7
2920,Stellenbosch University,South Africa,11
2930,Sun Yat-sen University,China,64
2940,Swansea University,United Kingdom,92
2950,Tilburg University,Netherlands,13
2960,Tongji University,China,64
2970,University of Twente,Netherlands,13
2980,United Arab Emirates University,United Arab Emirates,6
2990,University of Utah,United States of America,160
3000,Virginia Polytechnic Institute and State University,United States of America,160
3010,University of the Witwatersrand,South Africa,11
3020,Abu Dhabi University,United Arab Emirates,6
3030,Aix-Marseille University,France,31
3040,Alfaisal University,Saudi Arabia,19
3050,Anglia Ruskin University (ARU),United Kingdom,92
3060,Autonomous University of Madrid,Spain,27
